,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
313,2021-01-15T13:32:01.960Z,38.8320007,-122.8174973,1.5,0.56,nc73511195,2021-01-15T14:20:04.908Z,"8km NW of The Geysers, CA",earthquake,0.67,0.74,, CA
316,2021-01-15T13:39:05.650Z,35.7511667,-117.4908333,1.33,1.18,ci39758024,2021-01-15T13:43:15.292Z,"8km WSW of Searles Valley, CA",earthquake,0.58,0.73,0.168, CA
317,2021-01-15T13:41:07.460Z,33.586833299999995,-116.8213333,5.02,0.23,ci39758032,2021-01-15T13:45:10.311Z,"14km WNW of Anza, CA",earthquake,0.51,0.88,0.263, CA
318,2021-01-15T13:42:52.000Z,33.7691667,-116.135,8.4,0.91,ci39758040,2021-01-15T13:47:22.331Z,"9km NE of Indio, CA",earthquake,0.53,1.48,0.13, CA
321,2021-01-15T14:06:37.440Z,37.5096667,-118.9946667,2.5,0.55,nc73511215,2021-01-15T17:22:03.982Z,"14km S of Mammoth Lakes, CA",earthquake,0.54,31.61,0.09, CA
322,2021-01-15T14:15:25.450Z,38.8378334,-122.8363342,1.79,0.37,nc73511220,2021-01-15T15:12:04.197Z,"10km NW of The Geysers, CA",earthquake,0.24,0.49,0.36, CA
323,2021-01-15T14:17:07.080Z,35.8913333,-117.724,8.54,1.34,ci39758064,2021-01-15T14:21:11.649Z,"17km ESE of Little Lake, CA",earthquake,0.24,0.62,0.166, CA
326,2021-01-15T14:34:26.780Z,38.8230019,-122.8001633,1.35,1.33,nc73511225,2021-01-15T15:38:04.339Z,"6km NW of The Geysers, CA",earthquake,0.17,0.31,0.09, CA
329,2021-01-15T15:18:57.470Z,35.9111667,-117.68066670000002,3.23,0.58,ci39758136,2021-01-15T15:22:30.998Z,"20km E of Little Lake, CA",earthquake,0.41,8.55,0.119, CA
330,2021-01-15T15:19:16.300Z,35.9128333,-117.6931667,7.25,1.35,ci39758144,2021-01-15T15:22:55.000Z,"19km E of Little Lake, CA",earthquake,0.24,0.62,0.165, CA
331,2021-01-15T15:20:07.130Z,38.81399920000001,-122.7621689,2.0,0.4,nc73511235,2021-01-15T16:31:05.661Z,"4km WSW of Cobb, CA",earthquake,0.36,0.89,0.17, CA
332,2021-01-15T15:24:43.280Z,38.8115005,-122.8294983,1.22,0.56,nc73511240,2021-01-15T16:58:04.826Z,"7km WNW of The Geysers, CA",earthquake,0.5,0.8,, CA
337,2021-01-15T15:48:59.530Z,38.8236656,-122.8428345,1.76,0.57,nc73511250,2021-01-15T17:39:05.082Z,"9km NW of The Geysers, CA",earthquake,0.39,0.94,, CA
341,2021-01-15T15:55:58.580Z,38.83466720000001,-122.8071671,2.31,0.84,nc73511255,2021-01-15T16:06:03.489Z,"7km W of Cobb, CA",earthquake,0.21,0.49,0.09, CA
350,2021-01-15T16:13:52.860Z,33.597666700000005,-116.80316670000002,7.08,0.53,ci39758200,2021-01-15T16:17:33.370Z,"13km WNW of Anza, CA",earthquake,0.49,0.81,0.256, CA
352,2021-01-15T16:26:07.120Z,38.82433320000001,-122.8560028,2.29,1.65,nc73511275,2021-01-15T18:31:04.816Z,"10km WNW of The Geysers, CA",earthquake,0.19,0.31,0.1, CA
353,2021-01-15T16:27:33.170Z,38.8250008,-122.8564987,2.24,0.91,nc73511280,2021-01-15T16:48:03.755Z,"10km WNW of The Geysers, CA",earthquake,0.22,0.42,0.01, CA
354,2021-01-15T16:27:42.780Z,38.82433320000001,-122.8564987,2.2,0.86,nc73511285,2021-01-15T16:59:03.835Z,"10km WNW of The Geysers, CA",earthquake,0.22,0.39,0.07, CA
357,2021-01-15T16:36:42.080Z,33.6016667,-116.8063333,6.31,0.67,ci39758208,2021-01-15T16:40:28.517Z,"13km WNW of Anza, CA",earthquake,0.32,0.58,0.218, CA
359,2021-01-15T16:50:55.150Z,36.5731659,-121.17199709999998,0.14,1.45,nc73511300,2021-01-15T17:04:04.868Z,"5km NNW of Pinnacles, CA",earthquake,0.62,2.0,0.39, CA
362,2021-01-15T17:13:18.480Z,32.7401667,-115.82016670000002,10.41,2.05,ci39758224,2021-01-15T17:24:00.660Z,"16km E of Ocotillo, CA",earthquake,0.35,0.7,0.163, CA
363,2021-01-15T17:19:01.500Z,32.746,-115.8183333,9.3,2.27,ci39758232,2021-01-15T17:29:48.560Z,"16km E of Ocotillo, CA",earthquake,0.41,1.0,0.188, CA
369,2021-01-15T17:52:08.500Z,37.9090004,-118.5345001,10.71,2.25,nc73511315,2021-01-15T18:12:07.308Z,"41km NNE of Toms Place, CA",earthquake,0.45,1.14,0.18, CA
372,2021-01-15T18:10:37.520Z,38.8154984,-122.8251648,2.1,0.56,nc73511320,2021-01-15T18:21:05.368Z,"7km NW of The Geysers, CA",earthquake,0.32,0.78,, CA
373,2021-01-15T18:15:36.340Z,35.8881667,-117.4141667,1.39,1.58,ci39758320,2021-01-15T18:26:06.320Z,"14km N of Searles Valley, CA",earthquake,0.35,0.57,0.204, CA
376,2021-01-15T18:23:09.630Z,32.7348333,-115.793,5.24,1.4,ci39758328,2021-01-15T18:26:54.967Z,"19km E of Ocotillo, CA",earthquake,0.66,1.87,0.174, CA
384,2021-01-15T19:20:21.280Z,37.260833700000006,-121.6171646,7.22,1.68,nc73511345,2021-01-15T19:22:00.526Z,"15km NNE of Morgan Hill, CA",earthquake,0.21,0.59,0.34, CA
387,2021-01-15T19:24:17.160Z,38.8273315,-122.7543335,0.27,0.57,nc73511350,2021-01-15T19:36:05.095Z,"3km WNW of Cobb, CA",earthquake,0.26,0.64,0.15, CA
388,2021-01-15T20:00:11.740Z,38.7978325,-122.7703323,3.2,1.2,nc73511360,2021-01-15T20:01:49.578Z,"3km NNW of The Geysers, CA",earthquake,0.23,0.47,0.16, CA
389,2021-01-15T20:01:47.320Z,37.9108315,-118.5428314,3.85,2.81,nc73511370,2021-01-15T20:07:06.255Z,"41km NNE of Toms Place, CA",earthquake,0.28,7.19,0.313, CA
390,2021-01-15T20:02:03.390Z,37.91099929999999,-118.5323334,1.72,2.82,nc73511365,2021-01-15T20:07:05.255Z,"41km NNE of Toms Place, CA",earthquake,0.54,5.87,0.311, CA
393,2021-01-15T20:21:57.250Z,38.8198318,-122.7623367,1.88,1.15,nc73511380,2021-01-15T20:33:04.397Z,"3km W of Cobb, CA",earthquake,0.23,0.51,0.1, CA
396,2021-01-15T20:38:11.340Z,37.90750120000001,-118.5483322,-1.41,2.82,nc73511395,2021-01-15T20:49:50.020Z,"40km NNE of Toms Place, CA",earthquake,0.36,5.76,0.345, CA
399,2021-01-15T20:47:01.380Z,37.9111671,-118.5391693,3.93,2.04,nc73511415,2021-01-15T20:52:50.855Z,"41km NNE of Toms Place, CA",earthquake,1.03,9.78,0.17, CA
404,2021-01-15T21:17:13.090Z,34.2616667,-117.1355,3.05,1.62,ci39758440,2021-01-15T21:21:03.624Z,"5km ENE of Lake Arrowhead, CA",earthquake,0.26,0.98,0.189, CA
405,2021-01-15T21:21:26.000Z,34.0256667,-117.2013333,14.56,0.95,ci39758448,2021-01-15T21:25:10.438Z,"4km SSW of Redlands, CA",earthquake,0.38,0.57,0.16, CA
406,2021-01-15T21:30:26.580Z,35.64666670000001,-117.5403333,1.58,1.58,ci39758456,2021-01-15T21:34:12.718Z,"13km ENE of Ridgecrest, CA",earthquake,0.33,0.61,0.179, CA
409,2021-01-15T21:36:41.540Z,34.0325,-117.1978333,14.95,1.06,ci39758464,2021-01-15T21:40:34.060Z,"3km SSW of Redlands, CA",earthquake,0.41,0.78,0.2, CA
410,2021-01-15T21:38:30.210Z,32.9216667,-116.2553333,3.18,1.21,ci39758472,2021-01-15T21:42:19.933Z,"27km SSW of Ocotillo Wells, CA",earthquake,0.28,0.41,0.16699999999999998, CA
414,2021-01-15T22:11:07.710Z,37.9133339,-118.5398331,1.09,3.93,nc73511455,2021-01-15T22:22:37.040Z,"41km NNE of Toms Place, CA",earthquake,0.26,3.66,, CA
416,2021-01-15T22:18:29.020Z,32.8086667,-115.45583329999998,7.43,1.53,ci39758528,2021-01-15T22:22:18.023Z,"7km W of Holtville, CA",earthquake,0.55,0.89,0.18600000000000005, CA
417,2021-01-15T22:19:20.000Z,37.9093323,-118.5396652,3.37,1.65,nc73511465,2021-01-15T22:20:54.739Z,"41km NNE of Toms Place, CA",earthquake,0.81,7.01,0.14, CA
419,2021-01-15T22:28:03.530Z,37.9141655,-118.5368347,2.78,1.65,nc73511475,2021-01-15T22:34:03.920Z,"41km NNE of Toms Place, CA",earthquake,1.77,9.73,0.09, CA
425,2021-01-15T22:50:15.350Z,37.9124985,-118.5508347,-0.34,2.88,nc73511495,2021-01-15T22:54:08.240Z,"41km NNE of Toms Place, CA",earthquake,0.28,6.21,0.31, CA
426,2021-01-15T22:51:16.810Z,37.635833700000006,-118.8470001,6.22,1.8,nc73511500,2021-01-15T22:52:55.253Z,"12km E of Mammoth Lakes, CA",earthquake,0.83,0.95,0.2, CA
427,2021-01-15T22:57:19.530Z,37.912166600000006,-118.536499,6.15,1.81,nc73511505,2021-01-15T23:07:09.113Z,"41km NNE of Toms Place, CA",earthquake,0.69,7.82,0.12, CA
431,2021-01-15T23:21:03.000Z,34.1119995,-117.2728348,17.34,1.17,ci39758560,2021-01-15T23:23:07.736Z,"3km SE of San Bernardino, CA",earthquake,1.22,1.81,0.35600000000000004, CA
432,2021-01-15T23:21:03.700Z,34.0675,-117.2865,17.23,0.89,ci39758560,2021-01-15T23:24:50.965Z,"3km ESE of Colton, CA",earthquake,0.61,1.34,0.171, CA
439,2021-01-15T23:42:42.070Z,37.4070015,-118.6135025,5.05,2.04,nc73511540,2021-01-15T23:47:04.322Z,"2km WSW of Round Valley, CA",earthquake,0.41,3.41,0.19, CA
442,2021-01-15T23:58:36.790Z,38.8375015,-122.7838364,0.85,1.33,nc73511550,2021-01-16T00:08:04.435Z,"6km WNW of Cobb, CA",earthquake,0.18,0.28,0.18, CA
448,2021-01-16T00:21:55.940Z,35.1098328,-118.8203354,4.47,1.66,ci39758616,2021-01-16T00:24:19.403Z,"11km S of Arvin, CA",earthquake,0.51,0.77,0.32, CA
449,2021-01-16T00:21:56.090Z,35.0926667,-118.8066667,1.69,1.57,ci39758616,2021-01-16T00:32:44.960Z,"13km S of Arvin, CA",earthquake,0.33,0.56,0.239, CA
452,2021-01-16T00:30:46.440Z,33.4831667,-116.4021667,9.04,0.99,ci39758624,2021-01-16T00:34:32.004Z,"22km SSW of La Quinta, CA",earthquake,0.33,0.75,0.19, CA
453,2021-01-16T00:44:33.760Z,35.6846667,-117.51666670000002,2.1,0.93,ci39758632,2021-01-16T00:48:20.745Z,"14km SW of Searles Valley, CA",earthquake,0.78,0.93,0.145, CA
454,2021-01-16T00:48:36.150Z,32.7473333,-115.8238333,4.14,1.48,ci39758640,2021-01-16T00:52:18.110Z,"16km E of Ocotillo, CA",earthquake,0.44,1.61,0.14800000000000002, CA
455,2021-01-16T00:51:40.370Z,36.0373344,-120.623497,1.04,0.69,nc73511580,2021-01-16T00:53:14.913Z,"23km NW of Parkfield, CA",earthquake,3.77,10.75,0.27, CA
456,2021-01-16T00:53:25.570Z,37.6339989,-118.8498306,6.06,2.33,nc73511585,2021-01-16T01:01:03.711Z,"11km E of Mammoth Lakes, CA",earthquake,0.36,0.51,0.2, CA
457,2021-01-16T00:54:55.690Z,33.5026667,-116.7856667,7.05,0.51,ci39758664,2021-01-16T00:58:35.156Z,"10km NE of Aguanga, CA",earthquake,0.24,0.81,0.069, CA
458,2021-01-16T00:57:24.420Z,38.8284988,-122.8048325,1.52,0.44,nc73511590,2021-01-16T01:07:04.744Z,"7km NW of The Geysers, CA",earthquake,0.33,0.57,0.15, CA
463,2021-01-16T01:09:14.280Z,32.7925,-115.4508333,7.74,1.42,ci39758672,2021-01-16T01:12:57.249Z,"7km WSW of Holtville, CA",earthquake,0.64,0.81,0.145, CA
466,2021-01-16T01:24:15.780Z,35.6996667,-117.51,7.66,0.73,ci39758688,2021-01-16T01:27:58.723Z,"12km SW of Searles Valley, CA",earthquake,0.6,1.73,0.232, CA
467,2021-01-16T01:37:34.310Z,36.04233170000001,-120.6133347,4.73,0.32,nc73511605,2021-01-16T01:46:04.952Z,"23km NW of Parkfield, CA",earthquake,1.14,2.03,, CA
468,2021-01-16T02:00:12.130Z,33.6076667,-116.8035,6.32,0.24,ci39758704,2021-01-16T02:03:54.991Z,"13km WNW of Anza, CA",earthquake,0.28,0.39,0.17800000000000002, CA
471,2021-01-16T02:13:44.470Z,37.91266629999999,-118.5401688,0.67,1.94,nc73511620,2021-01-16T02:20:06.454Z,"41km NNE of Toms Place, CA",earthquake,0.84,5.78,0.1, CA
476,2021-01-16T02:44:16.960Z,35.7949982,-120.3453369,2.83,1.71,nc73511630,2021-01-16T02:52:04.325Z,"9km NNW of Cholame, CA",earthquake,0.3,0.58,0.26, CA
479,2021-01-16T02:53:50.150Z,38.81316760000001,-122.7763367,0.46,0.82,nc73511640,2021-01-16T03:04:04.393Z,"4km NNW of The Geysers, CA",earthquake,0.26,0.5,0.07, CA
482,2021-01-16T03:09:33.840Z,33.4973333,-116.79066670000002,4.26,0.59,ci39758728,2021-01-16T03:13:15.767Z,"9km NE of Aguanga, CA",earthquake,0.23,0.4,0.145, CA
485,2021-01-16T03:33:26.920Z,38.818332700000006,-122.8153305,2.61,0.55,nc73511655,2021-01-16T03:35:07.388Z,"7km NW of The Geysers, CA",earthquake,0.42,1.05,, CA
488,2021-01-16T03:44:29.790Z,32.7425,-115.825,9.95,2.13,ci39758736,2021-01-16T03:48:12.307Z,"16km E of Ocotillo, CA",earthquake,0.36,0.79,0.177, CA
491,2021-01-16T04:00:42.840Z,38.7993317,-122.7373352,2.02,0.84,nc73511665,2021-01-16T04:02:21.249Z,"3km SSW of Cobb, CA",earthquake,0.35,1.43,0.08, CA
495,2021-01-16T04:26:04.490Z,38.8201675,-122.7828369,0.92,0.82,nc73511690,2021-01-16T04:36:04.074Z,"5km W of Cobb, CA",earthquake,0.35,0.66,0.07, CA
496,2021-01-16T04:31:03.750Z,35.866,-117.7083333,7.89,1.46,ci39758744,2021-01-16T04:35:00.561Z,"20km ESE of Little Lake, CA",earthquake,0.27,0.76,0.179, CA
501,2021-01-16T05:07:26.190Z,38.8364983,-122.784668,1.38,0.56,nc73511700,2021-01-16T05:09:06.909Z,"6km WNW of Cobb, CA",earthquake,0.48,1.14,, CA
502,2021-01-16T05:08:20.960Z,37.6343346,-118.8483353,6.16,2.05,nc73511705,2021-01-16T05:09:54.340Z,"12km E of Mammoth Lakes, CA",earthquake,0.64,0.74,0.18, CA
504,2021-01-16T05:14:55.840Z,33.6835,-116.7165,16.88,0.21,ci39758752,2021-01-16T05:18:41.966Z,"6km S of Idyllwild, CA",earthquake,0.44,0.51,0.245, CA
507,2021-01-16T05:25:48.040Z,38.7983322,-122.7486649,1.68,1.1,nc73511715,2021-01-16T05:27:27.332Z,"2km NNE of The Geysers, CA",earthquake,0.26,0.42,0.19, CA
513,2021-01-16T06:00:17.710Z,38.7961655,-122.74916840000002,1.52,1.08,nc73511730,2021-01-16T06:01:57.597Z,"2km NNE of The Geysers, CA",earthquake,0.23,0.36,0.18, CA
515,2021-01-16T06:10:33.180Z,33.3608333,-115.7845,1.14,1.21,ci39758760,2021-01-16T06:14:16.028Z,"5km WNW of Bombay Beach, CA",earthquake,0.42,31.61,0.159, CA
516,2021-01-16T06:10:50.840Z,33.350666700000005,-115.7795,2.67,1.43,ci39758768,2021-01-16T06:14:38.195Z,"4km W of Bombay Beach, CA",earthquake,0.36,0.63,0.121, CA
517,2021-01-16T06:12:17.340Z,33.6771667,-116.7586667,17.77,1.18,ci39758776,2021-01-16T06:15:54.199Z,"8km SSW of Idyllwild, CA",earthquake,0.23,0.41,0.219, CA
518,2021-01-16T06:15:35.520Z,33.3466667,-115.779,2.48,1.05,ci39758784,2021-01-16T06:19:09.481Z,"4km W of Bombay Beach, CA",earthquake,0.57,0.99,0.14800000000000002, CA
522,2021-01-16T06:31:26.280Z,37.90850070000001,-118.552002,-0.55,2.69,nc73511750,2021-01-16T06:37:05.706Z,"40km NNE of Toms Place, CA",earthquake,0.45,7.33,0.36, CA
524,2021-01-16T06:36:26.270Z,37.9091682,-118.5439987,2.84,1.89,nc73511770,2021-01-16T06:38:02.131Z,"40km NNE of Toms Place, CA",earthquake,0.97,6.65,0.15, CA
527,2021-01-16T06:41:25.930Z,37.90850070000001,-118.5475006,2.83,2.09,nc73511790,2021-01-16T06:50:41.317Z,"40km NNE of Toms Place, CA",earthquake,0.9,7.08,0.13, CA
529,2021-01-16T06:49:27.480Z,37.9086685,-118.54383090000002,2.83,1.89,nc73511795,2021-01-16T06:53:01.275Z,"40km NNE of Toms Place, CA",earthquake,1.11,7.38,0.16, CA
530,2021-01-16T06:52:00.630Z,37.9088326,-118.5463333,1.77,2.95,nc73511805,2021-01-16T06:54:40.843Z,"40km NNE of Toms Place, CA",earthquake,0.76,5.28,0.287, CA
531,2021-01-16T06:52:18.530Z,37.8983345,-118.5400009,-2.23,2.95,nc73511800,2021-01-16T06:54:31.301Z,"39km NNE of Toms Place, CA",earthquake,0.55,0.96,0.279, CA
534,2021-01-16T06:56:33.940Z,37.9116669,-118.5563354,-0.72,2.82,nc73511825,2021-01-16T07:02:02.858Z,"40km NNE of Toms Place, CA",earthquake,0.33,6.66,0.2, CA
537,2021-01-16T07:09:52.000Z,37.9058342,-118.54166409999998,3.01,1.88,nc73511850,2021-01-16T07:17:21.240Z,"40km NNE of Toms Place, CA",earthquake,1.49,10.01,0.1, CA
538,2021-01-16T07:10:20.950Z,37.9070015,-118.5476685,2.85,1.84,nc73511855,2021-01-16T07:18:03.948Z,"40km NNE of Toms Place, CA",earthquake,0.97,6.57,0.13, CA
541,2021-01-16T07:16:01.750Z,37.9116669,-118.55233,-0.9,3.18,nc73511860,2021-01-16T07:22:34.014Z,"40km NNE of Toms Place, CA",earthquake,0.23,5.38,0.305, CA
542,2021-01-16T07:18:04.520Z,33.598833299999995,-116.8038333,6.46,0.48,ci39758848,2021-01-16T07:21:43.654Z,"13km WNW of Anza, CA",earthquake,0.68,0.87,0.123, CA
544,2021-01-16T07:20:26.630Z,33.5996667,-116.79966670000002,7.16,0.27,ci39758856,2021-01-16T07:24:14.652Z,"13km WNW of Anza, CA",earthquake,0.66,0.92,0.204, CA
547,2021-01-16T07:29:42.640Z,37.911335,-118.5588303,-1.32,2.4,nc73511875,2021-01-16T07:34:41.735Z,"40km NNE of Toms Place, CA",earthquake,0.38,7.89,0.18, CA
564,2021-01-16T09:56:13.870Z,37.912166600000006,-118.5541687,-0.54,2.32,nc73511950,2021-01-16T10:06:43.461Z,"40km NNE of Toms Place, CA",earthquake,0.34,6.64,0.24, CA
567,2021-01-16T10:09:37.420Z,33.9766667,-117.228,14.11,1.54,ci39758888,2021-01-16T10:13:35.855Z,"6km N of Moreno Valley, CA",earthquake,0.23,0.43,0.207, CA
570,2021-01-16T10:18:28.280Z,33.684,-116.7903333,15.67,1.22,ci39758896,2021-01-16T10:22:24.081Z,"9km SW of Idyllwild, CA",earthquake,0.22,0.42,0.256, CA
572,2021-01-16T10:38:26.860Z,37.9053345,-118.5276642,10.5,2.59,nc73511975,2021-01-16T10:40:01.600Z,"40km NNE of Toms Place, CA",earthquake,0.48,1.54,0.2, CA
576,2021-01-16T10:54:40.440Z,34.2396667,-117.55483329999998,6.91,1.05,ci39758912,2021-01-16T10:58:29.123Z,"6km WSW of Lytle Creek, CA",earthquake,0.35,1.03,0.197, CA
577,2021-01-16T10:56:04.810Z,38.8343315,-122.80950159999998,1.95,0.35,nc73511980,2021-01-16T11:06:05.308Z,"8km W of Cobb, CA",earthquake,0.3,0.57,, CA
582,2021-01-16T11:13:24.260Z,38.81316760000001,-122.7695007,0.07,1.26,nc73511990,2021-01-16T11:23:04.424Z,"4km WSW of Cobb, CA",earthquake,0.22,0.53,0.07, CA
588,2021-01-16T11:39:30.040Z,35.7825,-117.5515,7.06,0.69,ci39758920,2021-01-16T11:43:04.681Z,"13km W of Searles Valley, CA",earthquake,0.63,0.93,0.214, CA
589,2021-01-16T11:43:31.700Z,35.686,-117.5558333,1.55,0.8,ci39758928,2021-01-16T11:47:10.323Z,"13km NE of Ridgecrest, CA",earthquake,0.45,0.69,0.047, CA
600,2021-01-16T12:49:02.900Z,36.132,-117.82533329999998,2.54,1.39,ci39758952,2021-01-16T12:52:49.188Z,"15km NE of Coso Junction, CA",earthquake,0.41,0.36,0.229, CA
601,2021-01-16T12:50:00.100Z,35.7883333,-117.60966670000002,7.13,0.8,ci39758960,2021-01-16T12:53:35.533Z,"19km W of Searles Valley, CA",earthquake,0.38,0.63,0.064, CA
602,2021-01-16T13:07:48.380Z,37.913166,-118.5408325,2.84,1.74,nc73512025,2021-01-16T13:09:26.310Z,"41km NNE of Toms Place, CA",earthquake,0.89,6.89,0.1, CA
604,2021-01-16T13:16:34.950Z,33.3403333,-116.2078333,4.0,0.57,ci39758968,2021-01-16T13:20:10.353Z,"17km SW of Oasis, CA",earthquake,0.61,1.65,0.065, CA
606,2021-01-16T13:54:02.900Z,38.7879982,-122.72450259999998,1.73,0.5,nc73512035,2021-01-16T13:55:41.384Z,"3km ENE of The Geysers, CA",earthquake,0.4,1.11,, CA
608,2021-01-16T14:18:09.630Z,32.7488333,-115.825,3.19,1.02,ci39758992,2021-01-16T14:21:47.272Z,"16km E of Ocotillo, CA",earthquake,0.45,0.9,0.203, CA
609,2021-01-16T14:26:56.170Z,33.6053333,-116.8035,6.15,0.33,ci39759000,2021-01-16T14:30:41.822Z,"13km WNW of Anza, CA",earthquake,0.33,0.51,0.103, CA
613,2021-01-16T15:48:46.530Z,38.8040009,-122.7399979,2.43,0.57,nc73512090,2021-01-16T15:58:04.069Z,"2km SW of Cobb, CA",earthquake,0.36,1.07,0.17, CA
617,2021-01-16T16:13:12.120Z,38.8380013,-122.8099976,1.95,1.3,nc73512100,2021-01-16T16:14:51.287Z,"8km WNW of Cobb, CA",earthquake,0.2,0.43,0.05, CA
618,2021-01-16T16:21:34.210Z,38.8375015,-122.81016540000002,1.87,1.18,nc73512115,2021-01-16T16:34:04.293Z,"8km WNW of Cobb, CA",earthquake,0.22,0.57,0.38, CA
622,2021-01-16T16:32:28.690Z,33.7693333,-116.86083329999998,24.02,0.72,ci39759048,2021-01-16T16:36:07.643Z,"4km NE of Valle Vista, CA",earthquake,1.11,1.05,0.229, CA
626,2021-01-16T17:10:20.830Z,37.9088326,-118.5401688,2.58,1.89,nc73512135,2021-01-16T17:19:21.457Z,"40km NNE of Toms Place, CA",earthquake,1.1,5.2,0.25, CA
629,2021-01-16T17:33:51.530Z,35.7935,-117.6038333,3.62,0.95,ci39759080,2021-01-16T17:37:27.015Z,"18km W of Searles Valley, CA",earthquake,0.38,0.61,0.122, CA
632,2021-01-16T17:47:16.570Z,35.772,-117.589,3.43,1.0,ci39759088,2021-01-16T17:50:50.097Z,"17km W of Searles Valley, CA",earthquake,0.4,1.07,0.147, CA
633,2021-01-16T18:01:20.920Z,38.8328323,-122.8180008,1.87,0.67,nc73512150,2021-01-16T18:02:56.495Z,"8km NW of The Geysers, CA",earthquake,0.3,0.67,0.08, CA
635,2021-01-16T18:18:23.830Z,32.7511667,-115.8345,2.74,1.17,ci39759096,2021-01-16T18:22:12.087Z,"15km E of Ocotillo, CA",earthquake,0.37,0.72,0.354, CA
636,2021-01-16T18:23:05.330Z,38.8230019,-122.7881699,1.59,0.78,nc73512155,2021-01-16T18:32:05.005Z,"6km W of Cobb, CA",earthquake,0.29,0.51,0.21, CA
639,2021-01-16T18:43:28.610Z,33.3741667,-115.5605,28.89,1.55,ci39759112,2021-01-16T18:47:34.414Z,"15km NNW of Niland, CA",earthquake,2.54,0.7,0.059, CA
640,2021-01-16T18:43:34.190Z,33.5405,-115.887,2.32,1.36,ci39759120,2021-01-16T18:47:50.415Z,"5km ENE of North Shore, CA",earthquake,0.49,0.91,0.171, CA
644,2021-01-16T19:12:34.150Z,35.801,-117.6315,6.38,1.25,ci39759136,2021-01-16T19:16:15.630Z,"20km NNE of Ridgecrest, CA",earthquake,0.19,0.45,0.131, CA
646,2021-01-16T19:17:22.590Z,37.9076653,-118.5309982,12.55,2.25,nc73512160,2021-01-16T19:23:24.738Z,"41km NNE of Toms Place, CA",earthquake,0.59,1.65,0.23, CA
650,2021-01-16T19:44:30.400Z,33.2385,-116.6665,9.58,1.16,ci39759144,2021-01-16T19:55:09.200Z,"6km SSW of Warner Springs, CA",earthquake,0.28,0.52,0.206, CA
654,2021-01-16T20:18:20.520Z,35.8806667,-117.7008333,7.93,0.64,ci39759176,2021-01-16T20:21:59.130Z,"20km ESE of Little Lake, CA",earthquake,0.27,0.8,0.079, CA
655,2021-01-16T20:27:49.330Z,33.464833299999995,-116.5626667,11.05,0.96,ci39759184,2021-01-16T20:31:27.200Z,"14km SE of Anza, CA",earthquake,0.25,0.52,0.21600000000000005, CA
657,2021-01-16T20:35:14.310Z,33.6083333,-116.805,6.42,0.56,ci39759192,2021-01-16T20:38:59.400Z,"14km WNW of Anza, CA",earthquake,0.32,0.59,0.191, CA
661,2021-01-16T21:13:38.930Z,38.79700089999999,-122.7253342,-0.55,0.15,nc73512170,2021-01-16T21:23:04.108Z,"3km S of Cobb, CA",earthquake,0.19,1.53,0.06, CA
662,2021-01-16T21:15:35.280Z,33.1438333,-115.9526667,1.16,0.95,ci39759216,2021-01-16T21:19:30.529Z,"17km E of Ocotillo Wells, CA",earthquake,2.3,31.61,0.17600000000000002, CA
663,2021-01-16T21:21:13.170Z,40.7011681,-123.4075012,31.77,2.26,nc73512175,2021-01-16T21:26:05.125Z,"25km NW of Hayfork, CA",earthquake,2.47,2.87,0.26, CA
664,2021-01-16T21:54:54.780Z,36.0471649,-120.6113358,6.79,0.91,nc73512180,2021-01-16T21:56:32.282Z,"23km NW of Parkfield, CA",earthquake,0.65,0.74,0.13, CA
665,2021-01-16T21:55:52.620Z,38.793499,-122.767334,2.92,0.88,nc73512185,2021-01-16T21:57:26.821Z,"2km NNW of The Geysers, CA",earthquake,0.28,0.58,0.17, CA
666,2021-01-16T22:08:30.510Z,38.7853317,-122.7363358,1.82,0.64,nc73512195,2021-01-16T22:10:07.070Z,"2km ENE of The Geysers, CA",earthquake,0.27,0.64,0.07, CA
667,2021-01-16T22:29:01.720Z,33.8,-116.07016670000002,7.28,2.26,ci39759224,2021-01-16T22:39:46.510Z,"16km ENE of Indio, CA",earthquake,0.21,0.72,0.14, CA
669,2021-01-16T22:53:06.210Z,35.6655,-117.5545,2.31,1.28,ci39759232,2021-01-16T22:56:52.131Z,"12km ENE of Ridgecrest, CA",earthquake,0.35,1.01,0.128, CA
681,2021-01-17T00:24:57.080Z,33.6035,-116.807,5.73,0.96,ci39759256,2021-01-17T00:28:44.321Z,"14km WNW of Anza, CA",earthquake,0.26,0.62,0.141, CA
682,2021-01-17T00:33:17.470Z,35.6396667,-117.4573333,6.49,0.79,ci39759264,2021-01-17T00:36:47.953Z,"15km SSW of Searles Valley, CA",earthquake,0.63,0.86,0.087, CA
683,2021-01-17T00:46:44.250Z,32.8121667,-115.4568333,8.47,1.8,ci39759280,2021-01-17T00:50:51.902Z,"7km W of Holtville, CA",earthquake,0.81,1.01,0.272, CA
684,2021-01-17T00:53:33.400Z,33.6083333,-116.7818333,10.93,0.72,ci39759288,2021-01-17T00:57:18.942Z,"12km WNW of Anza, CA",earthquake,1.19,2.21,0.37, CA
690,2021-01-17T01:27:48.990Z,32.7465,-115.826,7.73,1.01,ci39759312,2021-01-17T01:31:29.015Z,"16km E of Ocotillo, CA",earthquake,0.38,1.52,0.206, CA
