,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
79,2021-01-14T18:52:25.630Z,33.1824989,-115.6106644,2.74,1.59,ci39757280,2021-01-14T18:54:43.231Z,"11km SW of Niland, CA",earthquake,0.46,0.28,0.325, CA
80,2021-01-14T18:52:25.650Z,33.18,-115.60316670000002,1.57,1.29,ci39757280,2021-01-14T18:56:09.243Z,"10km NW of Calipatria, CA",earthquake,0.49,0.45,0.16, CA
81,2021-01-14T19:03:40.020Z,35.59766670000001,-117.6448333,-0.18,0.27,ci39757304,2021-01-14T21:18:22.431Z,"4km SE of Ridgecrest, CA",earthquake,0.88,1.02,0.107, CA
86,2021-01-14T19:18:10.140Z,37.9780006,-122.0356674,6.67,3.83,nc73510910,2021-01-14T19:24:09.677Z,"2km WNW of Concord, CA",earthquake,0.42,0.81,0.213, CA
87,2021-01-14T19:18:10.680Z,37.9708333,-122.04066670000002,15.24,3.63,nc73510910,2021-01-15T18:30:23.209Z,"2km W of Concord, CA",earthquake,0.15,0.2,, CA
88,2021-01-14T19:19:44.780Z,35.8415,-117.66566670000002,5.11,1.29,ci39757320,2021-01-15T01:11:32.886Z,"24km ESE of Little Lake, CA",earthquake,0.19,0.56,0.122, CA
89,2021-01-14T19:19:44.830Z,35.8385,-117.67033329999998,4.22,1.39,ci39757320,2021-01-14T19:23:30.375Z,"24km ESE of Little Lake, CA",earthquake,0.28,0.6,0.212, CA
91,2021-01-14T19:24:04.280Z,38.76183320000001,-122.7383347,2.12,0.37,nc73510915,2021-01-14T19:25:43.836Z,"2km SE of The Geysers, CA",earthquake,0.38,0.61,0.13, CA
92,2021-01-14T19:26:24.830Z,37.9743347,-122.0368347,13.76,2.17,nc73510920,2021-01-14T19:31:05.277Z,"2km WNW of Concord, CA",earthquake,0.27,0.62,0.12, CA
96,2021-01-14T19:30:49.830Z,33.3295,-116.2096667,10.7,1.15,ci39757352,2021-01-15T01:18:54.580Z,"17km ENE of Borrego Springs, CA",earthquake,0.24,0.6,0.111, CA
97,2021-01-14T19:30:49.970Z,33.3358333,-116.2116667,10.38,1.15,ci39757352,2021-01-14T19:34:22.451Z,"18km ENE of Borrego Springs, CA",earthquake,0.35,0.86,0.106, CA
99,2021-01-14T19:36:12.450Z,33.1855,-115.6038333,2.88,1.65,ci39757360,2021-01-15T01:22:06.181Z,"10km SW of Niland, CA",earthquake,0.23,0.22,0.191, CA
100,2021-01-14T19:36:12.480Z,33.1863333,-115.599,2.34,1.58,ci39757360,2021-01-14T19:40:11.493Z,"10km SW of Niland, CA",earthquake,0.31,0.35,0.2, CA
